,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude,altitude
8842,MMR008002010,Myauk Let Gyi,မြောက်လက်ကြီး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8843,MMR008002011,Dhamma Thaw,ဓမ္မသော်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8844,MMR008002012,Htone Taung,ထုံးတောင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8845,MMR008002013,Pi Tauk Kone,ပိတောက်ကုန်း,ကျေးရွာအုပ်စု,Village Tract,"ပိတောက်ကုန်း, Thaton District, Mon, Myanmar","(16.6032784, 97.5047524, 0.0)",16.6032784,97.5047524,0.0
8846,MMR008002014,War Yon Pin Lel,ဝါးရုံပင်လယ်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8847,MMR008002015,Ah Shey Kyoet Kone,အရှေ့ကြို့ကုန်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8848,MMR008002016,Htan Ta Pin,ထန်းတပင်,ကျေးရွာအုပ်စု,Village Tract,"ထန်းတပင်, ရန်ကုန်တိုင်းဒေသကြီး, 1111, Myanmar","(17.05755495, 95.88844688904413, 0.0)",17.05755495,95.88844688904413,0.0
8849,MMR008002017,Nyaung Kone,ညောင်ကုန်း,ကျေးရွာအုပ်စု,Village Tract,"ညောင်ကုန်း, ဓနုကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ, တောင်ကြီးခရိုင, ရှမ်းပြည်နယ်တောင်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(21.0865, 96.496193, 0.0)",21.0865,96.496193,0.0
8850,MMR008002018,Hle Ku,လှည်းကူး,ကျေးရွာအုပ်စု,Village Tract,"လှည်းကူး, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(17.0988371, 96.2233619, 0.0)",17.0988371,96.2233619,0.0
8851,MMR008002019,Taung Let Gyi,တောင်လက်ကြီး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8852,MMR008002020,Taung Lel,တောင်လည်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8853,MMR008002021,Nyaung Wun,ညောင်ဝန်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8854,MMR008002022,Myo Taung,မြို့တောင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8855,MMR008002023,Ah Shey Ma Kway,အရှေ့မကွေ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8856,MMR008002024,Taung Shwe Laung,တောင်ရွှေလောင်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8857,MMR008002025,Ah Yar Taw,အရာတော်,ကျေးရွာအုပ်စု,Village Tract,"အရာတော်, မုံရွာခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.28525, 95.450677, 0.0)",22.28525,95.450677,0.0
8858,MMR008002026,Chaung Phyaunt,ချောင်းဖြောင့်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8859,MMR008002027,Chaung Kaung,ချောင်းကောင်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8860,MMR008002028,Tha Pyay Taung,သပြေတောင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8861,MMR008002029,Kin Mun Chon,ကင်းမွန်းခြုံ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8862,MMR008002030,Thit Yaung Pyan,သစ်ရောင်းပြန်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8863,MMR008002031,Kyoet Pin Waing,ကြို့ပင်ဝိုင်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8864,MMR008002032,Tha Phan Kaing,သဖန်းကိုင်း,ကျေးရွာအုပ်စု,Village Tract,"Thapan Kai, နောင်ချို, ကျောက်မဲခရိုင်, ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(22.31093195, 96.77278951923094, 0.0)",22.31093195,96.77278951923094,0.0
8865,MMR008002033,Nga Khu Aing,ငါးခူအိုင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8866,MMR008002034,Ywar Shey,ရွာရှည်,ကျေးရွာအုပ်စု,Village Tract,"ရွာရှည်, မိတ္ထီလာခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.23992, 96.0234217, 0.0)",21.23992,96.0234217,0.0
8867,MMR008002035,In Ngar Gwa,အင်ငါးခွ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8868,MMR008002036,Ah Nauk Kyoet Kone,အနောက်ကြို့ကုန်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8869,MMR008002037,Baw Di Kone,ဗောဓိကုန်း,ကျေးရွာအုပ်စု,Village Tract,"ဗောဓိကုန်း, စစ်တွေခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(20.47393, 92.668854, 0.0)",20.47393,92.668854,0.0
8870,MMR008002038,Ma Soe Yein,မစိုးရိမ်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8871,MMR008002039,Gway Pin Khon,ဂွေးပင်ခုံ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8872,MMR008002040,Bant Bway Taung,ဘန့်ဘွေးတောင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8873,MMR008002041,Kywe Ka Lay San,ကျွဲကလေးစမ်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8874,MMR008002042,Myauk Shwe Laung,မြောက်ရွှေလောင်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8875,MMR008002043,Lay Thar Taung Gyi,လေသာတောင်ကြီး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8876,MMR008002044,Thit Poke,သစ်ပုတ်,ကျေးရွာအုပ်စု,Village Tract,"သစ်ပုတ်, သံတွဲခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(18.395941, 94.392372, 0.0)",18.395941,94.392372,0.0
8877,MMR008002045,Kyu Wut,ကြူဝတ်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8878,MMR008002046,San Myaing Aye,စမ်းမြိုင်အေး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8879,MMR008002047,Ma Gyi Khon,မကြီးခုံ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8880,MMR008002048,Nwar Myaw,နွားမျော,ကျေးရွာအုပ်စု,Village Tract,,,,,
8881,MMR008002049,Sin Gaung,ဆင်ခေါင်း,ကျေးရွာအုပ်စု,Village Tract,"ဆင်ခေါင်း, သံတွဲခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(18.55204, 94.252571, 0.0)",18.55204,94.252571,0.0
8882,MMR008002050,Thit Seint Pin,သစ်ဆိမ့်ပင်,ကျေးရွာအုပ်စု,Village Tract,"သစ်ဆိမ့်ပင်, ဓနုကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ, တောင်ကြီးခရိုင, ရှမ်းပြည်နယ်တောင်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(21.13603, 96.483871, 0.0)",21.13603,96.483871,0.0
8883,MMR008002051,Kan Kyin,ကန်ကျင်း,ကျေးရွာအုပ်စု,Village Tract,"ကန်ကျင်း, သံတွဲခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(17.506399, 94.691978, 0.0)",17.506399,94.691978,0.0
8884,MMR008002052,Dee Doke,ဒီးဒုတ်,ကျေးရွာအုပ်စု,Village Tract,"Dee Dote ဒီးဒုတ်, ပြင်ဦးလွင်, ပြင်ဦးလွင်ခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.7146245, 96.3573736, 0.0)",21.7146245,96.3573736,0.0
8885,MMR008002053,Shwe Taung Ngwe Taung,ရွှေတောင်ငွေတောင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8886,MMR008003001,Ywar Thar Yar,ရွာသာယာ,ကျေးရွာအုပ်စု,Village Tract,"Ywar Thar Yar ရွာသာယာ, ကျောက်ဆည်ခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.8081021, 96.2556545, 0.0)",21.8081021,96.2556545,0.0
8887,MMR008003002,Shwe Bon Thar,ရွှေဘုံသာ,ကျေးရွာအုပ်စု,Village Tract,"ရွှေဘုံသာ, ကသာခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(23.937639, 96.287804, 0.0)",23.937639,96.287804,0.0
