,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
501,MMR003005701,Myawaddy Town,မြဝတီ,မြို့,Town,"မြဝတီ, မြဝတီခရိုင်, ကရင်ပြည်နယ် (Kayin), 13052, Myanmar","(16.6871674, 98.507114, 0.0)",16.6871674,98.507114
502,MMR003005702,Su Ka Li Town,စုကလိ,မြို့,Town,"စုကလိ, မြဝတီခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(16.155241, 98.5958167, 0.0)",16.155241,98.5958167
503,MMR003005703,Waw Lay Myaing (Waw Lay) Town,​ဝေါလေမြိုင်(ဝေါလေ),မြို့,Town,"ဝေါလေမြိုင်, မြဝတီခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(16.293922, 98.713243, 0.0)",16.293922,98.713243
504,MMR003006701,Kawkareik Town,ကော့ကရိတ်,မြို့,Town,"ကော့ကရိတ်, ကော့ကရိတ်ခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(16.555531, 98.23996, 0.0)",16.555531,98.23996
505,MMR003006702,Kyondoe Town,ကျုံဒိုး,မြို့,Town,"ကျုံဒိုး, ကော့ကရိတ်ခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(16.594461, 98.043526, 0.0)",16.594461,98.043526
506,MMR003007701,Kyainseikgyi Town,ကြာအင်းဆိပ်ကြီး,မြို့,Town,"ကြာအင်းဆိပ်ကြီး, ကော့ကရိတ်ခရိုင်, ကရင်ပြည်နယ် (Kayin), 170757, Myanmar","(16.0413857, 98.1209715, 0.0)",16.0413857,98.1209715
507,MMR003007702,Hpayarthonesu Town,ဘုရားသုံးဆူ,မြို့,Town,"ဘုရားသုံးဆူ, ကော့ကရိတ်ခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(15.3040495, 98.3818582, 0.0)",15.3040495,98.38185820000001
508,MMR003007703,Kyaikdon Town,ကျိုက်ဒုံ,မြို့,Town,"ကျိုက်ဒုံ, ကော့ကရိတ်ခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(16.0028042, 98.393413, 0.0)",16.0028042,98.393413
509,MMR004001701,Falam Town,ဖလမ်း,မြို့,Town,"ဖလမ်း, ဖလမ်းခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(22.9139433, 93.6790091, 0.0)",22.913943300000003,93.67900909999999
510,MMR004001702,Rihkhawdar Town,ရိခေါ်ဒါရ်,မြို့,Town,"ရိခေါ်ဒါရ်, ဖလမ်းခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(23.3632468, 93.3898227, 0.0)",23.3632468,93.38982270000001
511,MMR004001703,Webula Town,ဝေဘူလ,မြို့,Town,"ဝေဘူလ, သံသုမာလမ်း, Mya Kha Housing, သင်္ဃန်းကျွန်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, 1171, Myanmar","(16.8301802, 96.2080749, 0.0)",16.8301802,96.20807490000001
512,MMR004002701,Hakha Town,ဟားခါး,မြို့,Town,"ဟားခါး, ဟားခါးခရိုင်, ချင်းပြည်နယ်‌, 03011, Myanmar","(22.6427551, 93.6096217, 0.0)",22.642755100000002,93.6096217
514,MMR004003701,Thantlang Town,ထန်တလန်,မြို့,Town,"ထန်တလန်, ဟားခါးခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(22.69843, 93.4278, 0.0)",22.69843,93.4278
516,MMR004004701,Tedim Town,တီးတိန်,မြို့,Town,"တီးတိန်, ဖလမ်းခရိုင်, ချင်းပြည်နယ်‌, 03042, Myanmar","(23.3717349, 93.655654, 0.0)",23.3717349,93.655654
519,MMR004005702,Cikha Town,ကျီခါး,မြို့,Town,"ကျီခါး, ဖလမ်းခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(23.889757, 93.53347, 0.0)",23.889757,93.53347
520,MMR004006701,Mindat Town,မင်းတပ်,မြို့,Town,"မင်းတပ်, မင်းတပ်ခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(21.371757, 93.973654, 0.0)",21.371757000000002,93.97365400000001
521,MMR004006702,M'kuiimnu Town,မကွီအိမ်နူး,မြို့,Town,"မကွီအိမ်နူး, မင်းတပ်ခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(21.1730681, 93.5973939, 0.0)",21.173068100000002,93.5973939
522,MMR004007701,Matupi Town,မတူပီ,မြို့,Town,"မတူပီ, မင်းတပ်ခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(21.596511, 93.444026, 0.0)",21.596511,93.44402600000001
523,MMR004007702,Rezua Town,ရေဇွာ,မြို့,Town,"ရေဇွာ, မင်းတပ်ခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(22.052887, 93.408569, 0.0)",22.052887,93.408569
525,MMR004008701,Kanpetlet Town,ကန်ပက်လက်,မြို့,Town,"ကန်ပက်လက်, မင်းတပ်ခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(21.1933082, 94.0586224, 0.0)",21.1933082,94.0586224
527,MMR004009701,Paletwa Town,ပလက်ဝ,မြို့,Town,"ပလက်ဝ, မင်းတပ်ခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(21.3064037, 92.8538238, 0.0)",21.306403699999997,92.8538238
528,MMR004009702,Samee Town,ဆမီး,မြို့,Town,"ဆမီး, မင်းတပ်ခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(21.2929285, 93.0961863, 0.0)",21.2929285,93.0961863
529,MMR005001701,Sagaing Town,စစ်ကိုင်း,မြို့,Town,"စစ်ကိုင်း, စစ်ကိုင်းခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(21.8774215, 95.9839956, 0.0)",21.8774215,95.98399559999999
530,MMR005001702,Sar Taung Town,ဆားတောင်,မြို့,Town,"ဆားတောင်, မိတ္ထီလာခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.390612, 96.0924771, 0.0)",21.390612,96.0924771
531,MMR005002701,Myinmu Town,မြင်းမူ,မြို့,Town,"မြင်းမူ, စစ်ကိုင်းခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(21.92514, 95.575851, 0.0)",21.92514,95.575851
532,MMR005003701,Myaung Town,မြောင်,မြို့,Town,"မြောင်, စစ်ကိုင်းခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(21.833411, 95.42128, 0.0)",21.833410999999998,95.42128000000001
533,MMR005004701,Shwebo Town,ရွှေဘို,မြို့,Town,"ရွှေဘို, ရွှေဘိုခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.5666618, 95.6999989, 0.0)",22.566661800000002,95.69999890000001
534,MMR005004702,Kyauk Myaung Town,​ကျောက်မြောင်း,မြို့,Town,"ကျောက်မြောင်း, ကျောက်ဖြူခရိုင်, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(19.43004, 93.892929, 0.0)",19.430039999999998,93.89292900000001
535,MMR005005701,Khin-U Town,ခင်ဦး,မြို့,Town,"ခင်ဦး, ရွှေဘိုခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.771583, 95.6217428, 0.0)",22.771583,95.62174279999999
536,MMR005006701,Wetlet Town,ဝက်လက်,မြို့,Town,"ဝက်လက်, ရွှေဘိုခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.3680785, 95.7880232, 0.0)",22.3680785,95.78802320000001
537,MMR005007701,Kanbalu Town,ကန့်ဘလူ,မြို့,Town,"ကန့်ဘလူ, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(23.27235795, 95.40190856658666, 0.0)",23.27235795,95.40190856658664
538,MMR005007702,Zee Kone Town,ဇီးကုန်း,မြို့,Town,"ဇီးကုန်း, Thaton District, Mon, Myanmar","(17.5664929, 97.2536863, 0.0)",17.566492899999997,97.2536863
539,MMR005008701,Kyunhla Town,ကျွန်းလှ,မြို့,Town,"ကျွန်းလှ, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(12.2070692, 98.14151920028337, 0.0)",12.2070692,98.14151920028335
540,MMR005009701,Ye-U Town,ရေဦး,မြို့,Town,"ရေဦး, ကန့်ဘလူ, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.85732055, 95.03007476076434, 0.0)",22.85732055,95.03007476076435
541,MMR005010701,Tabayin Town,ဒီပဲယင်း,မြို့,Town,"ဒီပဲယင်း, ရွှေဘိုခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.685286, 95.321213, 0.0)",22.685285999999998,95.321213
543,MMR005011701,Taze Town,တန့်ဆည်,မြို့,Town,"အထက တန့်ဆည်, ခရိုင်ချင်းဆက်လမ်းမကြိး, အက်တေားကျေးရွာ, ကန့်ဘလူ, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.94774425, 95.40061675770531, 0.0)",22.94774425,95.40061675770531
