,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
7970,MMR006007025,Kyauk Lone Gyi,ကျောက်လုံးကြီး,ကျေးရွာအုပ်စု,Village Tract,"ကျောက်လုံးကြီး, Myeik District, Tanintharyi Region, Myanmar","(12.7417847, 98.9351368, 0.0)",12.7417847,98.9351368
7971,MMR006007026,Nan Thi Lar,နန်းသီလာ,ကျေးရွာအုပ်စု,Village Tract,"နန်းသီလာ Nan Thi Lar, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(13.3446624, 98.6750793, 0.0)",13.3446624,98.6750793
7972,MMR006007027,Pyin Bu Nge,ပြင်ဘုငယ်,ကျေးရွာအုပ်စု,Village Tract,"ပြင်ဘုငယ် Pyin Bu Nge, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(13.1514403, 98.5274345, 0.0)",13.151440300000003,98.5274345
7974,MMR006008002,Pa Wa,ပဝ,ကျေးရွာအုပ်စု,Village Tract,"Pawa, Orientale, Haut-Uele, République Démocratique du Congo","(2.5306906, 27.701259440449533, 0.0)",2.5306906000000002,27.701259440449533
7977,MMR006008005,Lel Thit,လယ်သစ်,ကျေးရွာအုပ်စု,Village Tract,"လယ်သစ် (အနောက်), Myeik District, Tanintharyi Region, Myanmar","(12.1863646, 98.8292722, 0.0)",12.1863646,98.8292722
7978,MMR006008006,Ta Moke Chone,တမုတ်ချုံး,ကျေးရွာအုပ်စု,Village Tract,"တမုတ်ချုံး, Myeik District, Tanintharyi Region, Myanmar","(12.0275716, 99.0035801, 0.0)",12.0275716,99.0035801
7979,MMR006008007,Ban La Mut,ဘန်းလမွတ်,ကျေးရွာအုပ်စု,Village Tract,"ဘန်းလမွတ်, Myeik District, Tanintharyi Region, Myanmar","(12.1557803, 98.9462031, 0.0)",12.155780300000002,98.94620309999999
7980,MMR006008008,Thein Khun,သိန်ခွန်း,ကျေးရွာအုပ်စု,Village Tract,"သိန်ခွန်း, Myeik District, Tanintharyi Region, Myanmar","(11.8817342, 99.1537695, 0.0)",11.881734199999999,99.1537695
7981,MMR006008009,Kyauk Ta Lone,ကျောက်တလုံး,ကျေးရွာအုပ်စု,Village Tract,"ကျောက်တလုံး, Thaton District, Mon, Myanmar","(17.1937625, 97.1200338, 0.0)",17.1937625,97.1200338
7982,MMR006008010,Thar Ra Hpon,သာရဖုံ,ကျေးရွာအုပ်စု,Village Tract,"သာရဖုံ (အနောက်), Myeik District, Tanintharyi Region, Myanmar","(12.1635795, 98.8765023, 0.0)",12.163579499999999,98.8765023
7985,MMR006008013,Ta Ku,တကူ,ကျေးရွာအုပ်စု,Village Tract,"တကူ တိုက်နယ်ဆေးရုံ, Padotepine Street, တနင်္သာရီ, Myeik District, Tanintharyi Region, Myanmar","(12.2573174, 99.0386133, 0.0)",12.2573174,99.0386133
7986,MMR006008014,Nyaung Pin Kwin,ညောင်ပင်ကွင်း,ကျေးရွာအုပ်စု,Village Tract,"ညောင်ပင်ကွင်း, သံတွဲခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(18.21306, 94.476761, 0.0)",18.213060000000002,94.476761
7988,MMR006008016,Kawt Ma Pyin,ကော့မပြင်း,ကျေးရွာအုပ်စု,Village Tract,"ကော့မပြင်း, Myeik District, Tanintharyi Region, Myanmar","(12.1080411, 98.9741478, 0.0)",12.1080411,98.9741478
7989,MMR006008017,Thin Baw U,သင်္ဘောဦး,ကျေးရွာအုပ်စု,Village Tract,"သင်္ဘောဦး, Myeik District, Tanintharyi Region, Myanmar","(12.9274924, 98.9554337, 0.0)",12.9274924,98.9554337
7990,MMR006008018,Za Wea,ဇဝဲ,ကျေးရွာအုပ်စု,Village Tract,"ဇဝဲ, Myeik District, Tanintharyi Region, Myanmar","(12.2294751, 98.9146848, 0.0)",12.229475099999998,98.9146848
7991,MMR006008019,Thar Ra Bwin,သာရဘွင်,ကျေးရွာအုပ်စု,Village Tract,"သာရဘွင်, Myeik District, Tanintharyi Region, Myanmar","(12.2907971, 99.0332267, 0.0)",12.290797099999999,99.0332267
7992,MMR006008020,Chaung La Mu,ချောင်းလမု,ကျေးရွာအုပ်စု,Village Tract,"ချောင်းလမု, Myeik District, Tanintharyi Region, Myanmar","(11.8579627, 99.1107659, 0.0)",11.8579627,99.1107659
7993,MMR006008021,Ah Hmat Koe,အမှတ်(၉),ကျေးရွာအုပ်စု,Village Tract,"အမှတ် (၉) ရွာ, Myeik District, Tanintharyi Region, Myanmar","(11.8624152, 99.4487855, 0.0)",11.8624152,99.4487855
7995,MMR006009002,Zar Det Gyi Kyun,ဇာဒက်ကြီးကျွန်း,ကျေးရွာအုပ်စု,Village Tract,"ဇာဒက်ကြီးကျွန်း, ကော့သောင်း, Kawthoung District, Tanintharyi Region, Myanmar","(9.95319135, 98.1853630110318, 0.0)",9.95319135,98.1853630110318
8001,MMR006009008,Aw Gyi,အော်ကြီး,ကျေးရွာအုပ်စု,Village Tract,"အော်ကြီး, Myeik District, Tanintharyi Region, Myanmar","(12.1027505, 98.9874571, 0.0)",12.1027505,98.9874571
8013,MMR006010002,Ka Mar Chaung,ကမာချောင်း,ကျေးရွာအုပ်စု,Village Tract,"ကမာချောင်း Kama Chaung, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(11.9320098, 98.4932148, 0.0)",11.932009800000001,98.49321479999999
